cbo,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
3.0,False,False,0.05545032255212775,False,0.0,False,0.08559893777844997,Voting
10.0,False,False,0.23675817398904875,False,0.1,False,0.1915480022900888,Voting
10.0,False,False,0.23675817398904875,False,0.4,False,0.1831759023155903,Voting
1.0,False,False,0.04753770381181213,False,0.0,False,0.07786068210953352,Voting
1.0,False,False,0.04753770381181213,False,0.0,False,0.10494514882195977,Voting
3.0,False,False,0.05545032255212775,False,0.0,False,0.1015370866016684,Voting
1.0,False,False,0.04753770381181213,False,0.0,False,0.07876523074807126,Voting
7.0,False,False,0.10212681570653226,False,0.0,False,0.12592121962960495,Voting
7.0,False,False,0.10212681570653226,False,0.0,False,0.14646157913899066,Voting
1.0,False,False,0.04753770381181213,False,0.0,False,0.1037737207989116,Voting
14.0,False,True,0.5977784206728752,True,0.9,True,0.7701066389188514,Voting
8.0,False,False,0.3085939434264478,False,0.35,False,0.499766995293267,Voting
3.0,False,False,0.05545032255212775,False,0.0,False,0.11407960759142036,Voting
5.0,False,False,0.06679020929207395,False,0.0,False,0.11150206191842958,Voting
21.0,False,False,0.2289702589078567,False,0.1,False,0.1038090215619922,Voting
16.0,False,False,0.20941180382614655,True,0.7,False,0.19651385298085974,Voting
6.0,False,False,0.07862066540040237,False,0.0,False,0.07969548230551936,Voting
6.0,False,False,0.07862066540040237,False,0.0,False,0.0723702044156628,Voting
13.0,True,True,0.5424375086203743,True,0.8,True,0.736968686792977,Voting
4.0,False,False,0.06021136214767184,False,0.0,False,0.09538170135059826,Voting
6.0,False,False,0.07862066540040237,False,0.0,False,0.11254046442326217,Voting
1.0,False,False,0.047537703811812125,False,0.0,False,0.07856152751978432,Voting
7.0,False,False,0.10212681570653223,False,0.0,False,0.11360700131032485,Voting
7.0,False,False,0.10212681570653223,False,0.0,False,0.10124006473742994,Voting
8.0,False,False,0.3085939434264478,False,0.3416666666666667,False,0.4961716604968266,Voting
0.0,False,False,0.044005488540239016,False,0.0,False,0.12137597445393525,Voting
1.0,False,False,0.047537703811812125,False,0.0,False,0.07516356623748785,Voting
3.0,False,False,0.05545032255212776,False,0.0,False,0.08506989287395744,Voting
3.0,False,False,0.05545032255212776,False,0.0,False,0.12686790077909565,Voting
13.0,True,True,0.5424375086203743,True,0.9,True,0.7485831755947191,Voting
8.0,True,False,0.10291687965439572,False,0.3,False,2.2204460492503185e-16,Voting
3.0,False,False,0.05545032255212776,False,0.0,False,0.06778695205276353,Voting
1.0,False,False,0.047537703811812125,False,0.0,False,0.10662237250217332,Voting
5.0,False,False,0.06679020929207395,False,0.0,False,0.07362566758395679,Voting
9.0,False,False,0.3027410289678683,False,0.3083333333333333,False,0.4853126123147935,Voting
11.0,False,True,0.6010392438236124,True,1.0,True,0.9552098176269572,Voting
7.9844,True,False,0.21318592849348664,False,0.2333333333333333,False,0.4960946602518658,Voting
11.686585,True,True,0.5679385675307979,True,1.0,True,0.7628472428423051,Voting
11.151238,True,False,0.2298178722101142,False,0.5,False,0.18301287156963372,Voting
10.270375,True,False,0.21020592528102375,False,0.0,False,0.08449208956828794,Voting
