cbo,rfc,ca,npm,lcom3,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
9.0,39.0,7.0,34.0,0.794118,False,False,0.49693822882600003,False,0.3,True,0.6,RandomForest
5.0,28.0,4.0,41.0,0.94152,False,False,0.19642389677400002,False,0.0,False,1.3995372465899999e-06,RandomForest
12.0,97.0,8.0,12.0,0.9176469999999999,False,True,0.846826776589,False,0.3,True,0.6,RandomForest
6.0,52.0,5.0,1.0,0.7902100000000001,False,False,0.09691416401599999,False,0.3,False,0.1,RandomForest
1.0,4.0,1.0,1.0,1.0,False,False,0.0299365981332,False,0.0,False,2.22044604925e-16,RandomForest
3.0,19.0,2.0,9.0,0.925,False,False,0.0550420439387,False,0.1,False,0.1,RandomForest
9.0,45.0,6.0,8.0,0.5625,True,False,0.45590108884900005,False,0.3,True,0.6,AdaBoost
9.0,24.0,8.0,3.0,0.851852,False,False,0.182829902182,False,0.1,False,0.1,RandomForest
12.0,13.0,12.0,24.0,0.8787879999999999,False,True,0.918786950812,True,0.6,True,0.8,RandomForest
4.0,45.0,3.0,4.0,0.875,False,False,0.0678422575444,False,0.0,False,0.2,RandomForest
4.0,40.0,4.0,3.0,0.767857,False,False,0.07663332970339999,False,0.0,False,2.22044604925e-16,RandomForest
11.0,124.0,8.0,4.0,0.9120879999999999,False,True,0.909874091514,False,0.3,False,0.5,RandomForest
1.0,10.0,1.0,5.0,1.0,False,False,0.0337818453204,False,0.0,False,2.22044604925e-16,RandomForest
9.0,4.0,9.0,2.0,1.0,False,False,0.158972509171,False,0.2,False,0.246606055596,RandomForest
14.0,42.0,11.0,52.0,0.907407,True,True,0.911083413334,True,0.7,True,0.6,RandomForest
2.0,16.0,2.0,10.0,0.740741,False,False,0.063334964661,False,0.2,False,0.1,RandomForest
12.294336,42.867781,6.79789,48.081821000000005,0.7305,True,True,0.881528679488,False,0.5,True,0.8,RandomForest
13.24744,49.818737,8.307069,8.0,0.618124,True,True,0.8102624950730001,True,0.6,True,0.8,RandomForest
9.041601,99.122132,7.6054520000000005,5.64922,0.612267,True,True,0.782962182808,True,0.6,True,0.7,RandomForest
10.910421000000001,113.745332,14.836417,5.472892,0.956045,True,False,0.017196204164599996,False,0.3,False,0.3,RandomForest
9.398594000000001,44.171254,9.788619,32.429064000000004,0.6212409999999999,True,True,0.859900781303,True,1.0,True,0.7,RandomForest
14.416175,48.561365,10.009253999999999,45.243887,0.778066,True,True,0.919484694977,True,0.9,True,0.8,RandomForest
12.151238000000001,44.837976,9.877131,20.865004000000003,0.8971299999999999,True,True,0.751380992948,False,0.5,True,0.9,RandomForest
