cbo,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
5,True,True,0.5929217989787988,True,0.8540476190476192,True,0.514115855040229,RandomForest
5,True,True,0.5929217989787988,True,0.8584487734487734,True,0.5138240926182218,RandomForest
11,False,False,0.46699761911832305,True,0.6,True,0.6909658139860391,Voting
5,True,True,0.5929217989787988,True,0.8176587301587303,True,0.5149628030510667,RandomForest
5,True,True,0.5929217989787988,True,0.8992063492063493,True,0.5118582475106377,RandomForest
6,False,False,0.3797595109886616,False,0.12607142857142856,False,0.483237394201064,RandomForest
6,False,False,0.3797595109886616,False,0.23377705627705625,False,0.4884378989650559,RandomForest
5,True,True,0.5929217989787988,True,0.8330447330447329,True,0.5150289481774641,RandomForest
6,False,False,0.3797595109886616,False,0.19940476190476192,False,0.4883114402922037,RandomForest
6,False,False,0.3797595109886616,False,0.17119047619047614,False,0.486750699706192,RandomForest
6,False,False,0.3797595109886616,False,0.1253968253968254,False,0.48971642344699207,RandomForest
7,False,False,0.34613673401850203,False,0.13468253968253968,False,0.4864658290732747,RandomForest
8,False,False,0.2626941891798857,False,0.046590909090909086,False,0.14671086098656128,RandomForest
5,True,True,0.5929217989787988,True,0.8482828282828283,True,0.5165096082862095,RandomForest
5,True,True,0.5929217989787988,True,0.8597943722943722,True,0.5153157192572854,RandomForest
1,False,True,0.6176671500591119,True,0.8317460317460317,True,0.5151762258939356,RandomForest
6,False,False,0.3797595109886616,False,0.06714285714285714,False,0.4847146242270561,RandomForest
6,False,False,0.3797595109886616,False,0.14583333333333331,False,0.4841033415288927,RandomForest
15,False,False,0.26982312081190185,False,0.19666666666666666,False,0.4997250199033506,RandomForest
6,True,False,0.2931401631144594,False,0.0,False,0.1266058559974507,RandomForest
11,True,False,0.058363610979208023,False,0.0,False,0.020130860101370933,RandomForest
5,False,True,0.6794018253528972,True,1.0,True,0.8244926344988223,RandomForest
